timestamp,unix_time,motion_detected,motion_intensity,motion_area,brightness,sensor_type,device_id
2025-12-07T14:58:36.403144,1765119516,1,22.35,46348,144.02,webcam_motion,webcam_001
2025-12-07T14:58:36.469082,1765119516,1,12.7,26330,144.0,webcam_motion,webcam_001
2025-12-07T14:58:36.533586,1765119516,1,7.68,15919,143.92,webcam_motion,webcam_001
2025-12-07T14:58:36.673583,1765119516,1,24.32,50434,143.51,webcam_motion,webcam_001
2025-12-07T14:58:36.737142,1765119516,1,8.69,18017,143.44,webcam_motion,webcam_001
2025-12-07T14:58:36.802697,1765119516,1,8.52,17674,143.49,webcam_motion,webcam_001
2025-12-07T14:58:36.869169,1765119516,1,6.07,12588,143.51,webcam_motion,webcam_001
2025-12-07T14:58:36.935127,1765119516,1,4.58,9499,143.68,webcam_motion,webcam_001
2025-12-07T14:58:37.072609,1765119517,1,6.96,14427,144.17,webcam_motion,webcam_001
2025-12-07T14:58:37.127589,1765119517,1,0.51,1057,144.5,webcam_motion,webcam_001
2025-12-07T14:58:37.204210,1765119517,1,2.16,4487,144.74,webcam_motion,webcam_001
2025-12-07T14:58:37.260492,1765119517,0,0.0,0,145.06,webcam_motion,webcam_001
2025-12-07T14:58:37.330087,1765119517,1,16.46,34134,144.64,webcam_motion,webcam_001
2025-12-07T14:58:37.479000,1765119517,1,60.89,126258,139.99,webcam_motion,webcam_001
2025-12-07T14:58:37.542139,1765119517,1,3.03,6284,139.35,webcam_motion,webcam_001
2025-12-07T14:58:37.607397,1765119517,0,0.0,0,139.02,webcam_motion,webcam_001
2025-12-07T14:58:37.667806,1765119517,1,2.97,6153,139.43,webcam_motion,webcam_001
2025-12-07T14:58:37.737441,1765119517,0,0.0,0,139.84,webcam_motion,webcam_001
2025-12-07T14:58:37.841366,1765119517,0,0.0,0,140.91,webcam_motion,webcam_001
2025-12-07T14:58:37.904652,1765119517,0,0.0,0,141.51,webcam_motion,webcam_001
2025-12-07T14:58:37.971928,1765119517,0,0.0,0,142.13,webcam_motion,webcam_001
2025-12-07T14:58:38.037617,1765119518,0,0.0,0,142.68,webcam_motion,webcam_001
2025-12-07T14:58:38.104352,1765119518,0,0.0,0,143.16,webcam_motion,webcam_001
2025-12-07T14:58:38.224135,1765119518,0,0.0,0,144.06,webcam_motion,webcam_001
2025-12-07T14:58:38.291967,1765119518,0,0.0,0,144.48,webcam_motion,webcam_001
2025-12-07T14:58:38.364973,1765119518,0,0.0,0,145.0,webcam_motion,webcam_001
2025-12-07T14:58:38.426012,1765119518,1,0.45,938,145.52,webcam_motion,webcam_001
2025-12-07T14:58:38.501299,1765119518,1,3.19,6614,145.97,webcam_motion,webcam_001
2025-12-07T14:58:38.600125,1765119518,1,7.45,15452,146.62,webcam_motion,webcam_001
2025-12-07T14:58:38.668950,1765119518,1,3.36,6970,146.94,webcam_motion,webcam_001
2025-12-07T14:58:38.732484,1765119518,1,1.98,4116,147.27,webcam_motion,webcam_001
2025-12-07T14:58:38.800024,1765119518,1,0.49,1025,147.4,webcam_motion,webcam_001
2025-12-07T14:58:38.867015,1765119518,0,0.0,0,147.61,webcam_motion,webcam_001
2025-12-07T14:58:38.973061,1765119518,0,0.0,0,147.85,webcam_motion,webcam_001
